,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Intangible Assets,3122000000.0,3188000000.0,3253500000.0,1183000000.0
Total Liab,6386000000.0,6440000000.0,5702200000.0,2257500000.0
Total Stockholder Equity,6030000000.0,7183000000.0,7238600000.0,1483400000.0
Other Current Liab,1274000000.0,1301000000.0,1185200000.0,392900000.0
Total Assets,12416000000.0,13623000000.0,12940800000.0,3740900000.0
Common Stock,8618000000.0,8562000000.0,8529200000.0,2445100000.0
Other Current Assets,247000000.0,116000000.0,135400000.0,359600000.0
Retained Earnings,-1967000000.0,-653000000.0,-566200000.0,-270300000.0
Other Liab,859000000.0,838000000.0,897700000.0,126500000.0
Good Will,7160000000.0,8250000000.0,8249600000.0,1512600000.0
Treasury Stock,-621000000.0,-726000000.0,-724400000.0,-691400000.0
Other Assets,488000000.0,351000000.0,182100000.0,146200000.0
Cash,349000000.0,463000000.0,368200000.0,114300000.0
Total Current Liabilities,1646000000.0,1635000000.0,1410900000.0,1416400000.0
Short Long Term Debt,284000000.0,227000000.0,149300000.0,421400000.0
Other Stockholder Equity,-620000000.0,-726000000.0,-724300000.0,-690800000.0
Property Plant Equipment,731000000.0,883000000.0,488200000.0,339400000.0
Total Current Assets,727000000.0,766000000.0,667700000.0,556600000.0
Long Term Investments,188000000.0,185000000.0,99700000.0,3100000.0
Net Tangible Assets,-4252000000.0,-4255000000.0,-4264500000.0,-1212200000.0
Short Term Investments,26000000.0,13000000.0,,
Net Receivables,72000000.0,139000000.0,119200000.0,59900000.0
Long Term Debt,3575000000.0,3609000000.0,3393600000.0,714600000.0
