,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Total Liab,832400000.0,547068000.0,876798000.0,841379000.0
Total Stockholder Equity,1163931000.0,1183282000.0,655976000.0,510165000.0
Other Current Liab,7313000.0,34181000.0,14122000.0,16439000.0
Total Assets,1996331000.0,1730350000.0,1532774000.0,1351544000.0
Common Stock,6270000.0,261573000.0,259933000.0,
Other Current Assets,34492000.0,4823000.0,286000.0,
Retained Earnings,716924000.0,649973000.0,127821000.0,126282000.0
Other Liab,152667000.0,41302000.0,112260000.0,164505000.0
Treasury Stock,440737000.0,271736000.0,268222000.0,383883000.0
Other Assets,180217000.0,4264000.0,113320000.0,98033000.0
Cash,155269000.0,228799000.0,94940000.0,45913000.0
Total Current Liabilities,60027000.0,90234000.0,228067000.0,69136000.0
Short Long Term Debt,29156000.0,20903000.0,195852000.0,37045000.0
Other Stockholder Equity,440737000.0,271736000.0,268222000.0,383883000.0
Property Plant Equipment,1444572000.0,1014562000.0,1066727000.0,1170613000.0
Total Current Assets,371542000.0,711524000.0,352181000.0,79830000.0
Net Tangible Assets,1163931000.0,1183282000.0,655430000.0,509568000.0
Short Term Investments,158153000.0,449868000.0,225468000.0,
Net Receivables,23628000.0,28034000.0,31484000.0,33917000.0
Long Term Debt,493834000.0,300369000.0,515136000.0,607738000.0
Accounts Payable,2003000.0,11866000.0,9878000.0,9619000.0
Intangible Assets,,,546000.0,597000.0
Long Term Investments,,,,2471000.0
