,2020-09-30,2019-09-30,2018-09-30,2017-09-30
Intangible Assets,67292000.0,35861000.0,5029000.0,7556000.0
Total Liab,233741000.0,211567000.0,206821000.0,90918000.0
Total Stockholder Equity,142168000.0,106857000.0,77490000.0,157520000.0
Deferred Long Term Liab,7035000.0,5415000.0,4000000.0,
Other Current Liab,157382000.0,157525000.0,157339000.0,44431000.0
Total Assets,375909000.0,318424000.0,284311000.0,248438000.0
Common Stock,40551000.0,35302000.0,33171000.0,32152000.0
Other Current Assets,3353000.0,2567000.0,2316000.0,798000.0
Retained Earnings,68139000.0,43983000.0,21374000.0,106456000.0
Other Liab,2577000.0,4453000.0,4385000.0,13131000.0
Good Will,33250000.0,33250000.0,40003000.0,40003000.0
Treasury Stock,33478000.0,27572000.0,22945000.0,18912000.0
Other Assets,35640000.0,37568000.0,46523000.0,17396000.0
Cash,125244000.0,105046000.0,104322000.0,93383000.0
Total Current Liabilities,203967000.0,207114000.0,202436000.0,77787000.0
Deferred Long Term Asset Charges,28605000.0,32153000.0,42278000.0,5482000.0
Other Stockholder Equity,33478000.0,27572000.0,22945000.0,18912000.0
Property Plant Equipment,32755000.0,10900000.0,12259000.0,13515000.0
Total Current Assets,206972000.0,200845000.0,180497000.0,169968000.0
Net Tangible Assets,41626000.0,37746000.0,32458000.0,109961000.0
Net Receivables,67524000.0,80422000.0,63007000.0,67567000.0
Accounts Payable,29315000.0,37178000.0,32319000.0,22543000.0
