,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Intangible Assets,4856000000.0,1478000000.0,1597640000.0,1448053000.0
Total Liab,6932000000.0,9950000000.0,9101604000.0,9308509000.0
Total Stockholder Equity,11892000000.0,-1203000000.0,-922066000.0,-792847000.0
Deferred Long Term Liab,45000000.0,38000000.0,41188000.0,47134000.0
Other Current Liab,396000000.0,492000000.0,403503000.0,499592000.0
Total Assets,18824000000.0,8747000000.0,8179538000.0,8515662000.0
Common Stock,18399000000.0,6047000000.0,6046890000.0,6046890000.0
Other Current Assets,2000000.0,130000000.0,29444000.0,
Retained Earnings,-6508000000.0,-7249000000.0,-6969147000.0,-6839505000.0
Other Liab,95000000.0,34000000.0,176711000.0,108373000.0
Good Will,8568000000.0,2413000000.0,2412807000.0,2412807000.0
Treasury Stock,1000000.0,-1000000.0,191000.0,-232000.0
Other Assets,447000000.0,115000000.0,180195000.0,858288000.0
Cash,120000000.0,734000000.0,642713000.0,356210000.0
Total Current Liabilities,1456000000.0,6629000000.0,3380689000.0,1777061000.0
Deferred Long Term Asset Charges,264000000.0,,,
Other Stockholder Equity,1000000.0,-1000000.0,191000.0,-232000.0
Property Plant Equipment,4270000000.0,3319000000.0,2638273000.0,2672193000.0
Total Current Assets,683000000.0,1422000000.0,1350623000.0,1124321000.0
Net Tangible Assets,-1532000000.0,-5094000000.0,-4932513000.0,-4653707000.0
Net Receivables,431000000.0,391000000.0,441300000.0,549317000.0
Long Term Debt,4330000000.0,1743000000.0,4978187000.0,6953749000.0
Inventory,51000000.0,103000000.0,129304000.0,85041000.0
Accounts Payable,872000000.0,739614000.0,916978000.0,767805000.0
Short Long Term Debt,,5255000000.0,2025178000.0,474773000.0
