,2020-09-30,2019-09-30,2018-09-30,2017-09-30
Intangible Assets,480000000.0,505000000.0,412000000.0,339000000.0
Capital Surplus,3000000.0,3000000.0,,
Total Liab,85327000000.0,85978000000.0,40270000000.0,39829000000.0
Total Stockholder Equity,4932000000.0,5021000000.0,3186000000.0,3402000000.0
Total Assets,90259000000.0,90999000000.0,43456000000.0,43231000000.0
Common Stock,144000000.0,143000000.0,89000000.0,88000000.0
Other Current Assets,273000000.0,238000000.0,381000000.0,461000000.0
Retained Earnings,2624000000.0,2661000000.0,2873000000.0,3055000000.0
Other Liab,2871000000.0,3064000000.0,2804000000.0,2940000000.0
Good Will,11000000.0,11000000.0,,
Treasury Stock,2161000000.0,2214000000.0,224000000.0,259000000.0
Other Assets,73815000000.0,74048000000.0,33418000000.0,31682000000.0
Cash,9761000000.0,11076000000.0,6584000000.0,6992000000.0
Total Current Liabilities,69784000000.0,66281000000.0,30398000000.0,29441000000.0
Deferred Long Term Asset Charges,326000000.0,322000000.0,206000000.0,154000000.0
Short Long Term Debt,1646000000.0,1832000000.0,990000000.0,1123000000.0
Other Stockholder Equity,2161000000.0,2215000000.0,224000000.0,259000000.0
Property Plant Equipment,288000000.0,145000000.0,88000000.0,86000000.0
Total Current Assets,10585000000.0,11962000000.0,7976000000.0,9048000000.0
Long Term Investments,5080000000.0,4328000000.0,1562000000.0,2076000000.0
Net Tangible Assets,4441000000.0,4505000000.0,2774000000.0,3063000000.0
Net Receivables,30000000.0,15000000.0,387000000.0,836000000.0
Long Term Debt,12524000000.0,16633000000.0,7068000000.0,7448000000.0
Accounts Payable,67579000000.0,63839000000.0,28862000000.0,27710000000.0
Other Current Liab,,,,4000000.0
