,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Intangible Assets,848000000.0,986000000.0,4369000000.0,4576000000.0
Total Liab,16081000000.0,8362000000.0,14179000000.0,16174000000.0
Total Stockholder Equity,9344000000.0,9971000000.0,22754000000.0,23941000000.0
Other Current Liab,868000000.0,508000000.0,890000000.0,1028000000.0
Total Assets,25425000000.0,18333000000.0,36933000000.0,40115000000.0
Common Stock,15818000000.0,15809000000.0,22277000000.0,22268000000.0
Other Current Assets,270000000.0,282000000.0,355000000.0,491000000.0
Retained Earnings,-245000000.0,-208000000.0,176000000.0,1509000000.0
Other Liab,435000000.0,473000000.0,1189000000.0,1691000000.0
Good Will,2966000000.0,3090000000.0,13491000000.0,14360000000.0
Treasury Stock,-6229000000.0,-5630000000.0,301000000.0,164000000.0
Other Assets,1066000000.0,602000000.0,1211000000.0,1369000000.0
Cash,2913000000.0,795000000.0,683000000.0,1013000000.0
Total Current Liabilities,7270000000.0,5216000000.0,10025000000.0,10417000000.0
Deferred Long Term Asset Charges,670000000.0,194000000.0,692000000.0,971000000.0
Short Long Term Debt,503000000.0,356000000.0,1159000000.0,1347000000.0
Other Stockholder Equity,-6229000000.0,-5630000000.0,301000000.0,164000000.0
Property Plant Equipment,10648000000.0,3878000000.0,8408000000.0,9440000000.0
Total Current Assets,8064000000.0,6350000000.0,8706000000.0,9667000000.0
Long Term Investments,1833000000.0,3427000000.0,748000000.0,703000000.0
Net Tangible Assets,5530000000.0,5895000000.0,4894000000.0,5005000000.0
Net Receivables,1037000000.0,1027000000.0,1657000000.0,1633000000.0
Long Term Debt,2153000000.0,2673000000.0,2965000000.0,4066000000.0
Inventory,3844000000.0,4246000000.0,6011000000.0,6530000000.0
Accounts Payable,4008000000.0,3620000000.0,6541000000.0,6615000000.0
