,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Total Liab,11748000000.0,11944000000.0,8766000000.0,9488000000.0
Total Stockholder Equity,12075000000.0,16617000000.0,17489000000.0,15081000000.0
Minority Interest,800000000.0,792000000.0,833000000.0,830000000.0
Other Current Liab,789000000.0,531000000.0,565000000.0,522000000.0
Total Assets,24623000000.0,29353000000.0,27088000000.0,25399000000.0
Common Stock,9297000000.0,9010000000.0,8880000000.0,6919000000.0
Other Current Assets,48000000.0,42000000.0,41000000.0,27000000.0
Retained Earnings,1860000000.0,6654000000.0,7655000000.0,7200000000.0
Other Liab,3032000000.0,4110000000.0,3729000000.0,3457000000.0
Treasury Stock,918000000.0,953000000.0,954000000.0,962000000.0
Other Assets,1822000000.0,1439000000.0,1404000000.0,1288000000.0
Cash,3604000000.0,4058000000.0,1674000000.0,318000000.0
Total Current Liabilities,2094000000.0,1131000000.0,1045000000.0,1042000000.0
Deferred Long Term Asset Charges,1304000000.0,1173000000.0,1179000000.0,1125000000.0
Short Long Term Debt,776000000.0,77000000.0,79000000.0,76000000.0
Other Stockholder Equity,918000000.0,953000000.0,954000000.0,962000000.0
Property Plant Equipment,18495000000.0,23232000000.0,23243000000.0,23069000000.0
Total Current Assets,4252000000.0,4647000000.0,2411000000.0,1011000000.0
Long Term Investments,54000000.0,35000000.0,30000000.0,31000000.0
Net Tangible Assets,12075000000.0,16617000000.0,17489000000.0,15081000000.0
Short Term Investments,172000000.0,,,
Net Receivables,303000000.0,343000000.0,487000000.0,406000000.0
Long Term Debt,5438000000.0,5602000000.0,3992000000.0,4989000000.0
Inventory,125000000.0,176000000.0,155000000.0,186000000.0
Accounts Payable,100000000.0,224000000.0,212000000.0,237000000.0
