,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,357907000.0,263473000.0,210958000.0,163651000.0
Total Liab,1278082000.0,731322000.0,617009000.0,109532000.0
Total Stockholder Equity,745946000.0,422366000.0,353309000.0,241084000.0
Other Current Liab,32862000.0,15718000.0,23551000.0,6853000.0
Total Assets,2024028000.0,1153688000.0,970318000.0,350616000.0
Common Stock,1295211000.0,687341000.0,638234000.0,549596000.0
Other Current Assets,15683000.0,126554000.0,79885000.0,4173000.0
Retained Earnings,-320762000.0,-340536000.0,-343872000.0,-316729000.0
Other Liab,171230000.0,129732000.0,82891000.0,2977000.0
Good Will,126110000.0,78773000.0,78773000.0,5165000.0
Treasury Stock,-228503000.0,75561000.0,58947000.0,8217000.0
Other Assets,226348000.0,6294000.0,2478000.0,2748000.0
Cash,657849000.0,108027000.0,121527000.0,20955000.0
Total Current Liabilities,168824000.0,116132000.0,105079000.0,68649000.0
Deferred Long Term Asset Charges,103267000.0,3751000.0,1613000.0,500000.0
Short Long Term Debt,2604000.0,,,
Other Stockholder Equity,-226612000.0,85362000.0,69333000.0,20069000.0
Property Plant Equipment,109358000.0,86638000.0,91491000.0,61804000.0
Total Current Assets,1204305000.0,718510000.0,586618000.0,117248000.0
Net Tangible Assets,261929000.0,80120000.0,63578000.0,72268000.0
Short Term Investments,452814000.0,428052000.0,336819000.0,59000000.0
Net Receivables,35029000.0,33260000.0,31982000.0,24643000.0
Long Term Debt,854078000.0,424587000.0,357731000.0,
Accounts Payable,13386000.0,10615000.0,5690000.0,7383000.0
