,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Capital Surplus,89166000.0,89166000.0,89166000.0,89166000.0
Total Liab,445476000.0,450285000.0,505079000.0,411088000.0
Total Stockholder Equity,1271999000.0,1055160000.0,995299000.0,992659000.0
Other Current Liab,12264000.0,7254000.0,75781000.0,55157000.0
Total Assets,1717475000.0,1505445000.0,1500378000.0,1403747000.0
Common Stock,10763000.0,10763000.0,10763000.0,10763000.0
Other Current Assets,28747000.0,31638000.0,45628000.0,95381000.0
Retained Earnings,1172070000.0,955231000.0,895370000.0,892730000.0
Other Liab,322065000.0,314258000.0,266120000.0,174810000.0
Other Assets,25000.0,1156000.0,1915000.0,2457000.0
Cash,135817000.0,67018000.0,118981000.0,70334000.0
Total Current Liabilities,120999000.0,136027000.0,196459000.0,151278000.0
Property Plant Equipment,1159904000.0,1141380000.0,1086705000.0,1016647000.0
Total Current Assets,557546000.0,362909000.0,411758000.0,384643000.0
Net Tangible Assets,1271999000.0,1055160000.0,995299000.0,992659000.0
Net Receivables,288224000.0,208561000.0,180091000.0,162583000.0
Inventory,91892000.0,55560000.0,62785000.0,54036000.0
Accounts Payable,26209000.0,31607000.0,42653000.0,30372000.0
Short Long Term Debt,,42500000.0,42500000.0,3000.0
Long Term Debt,,,42500000.0,85000000.0
