,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Change To Liabilities,16200000.0,-2900000.0,-8900000.0,23700000.0
Total Cashflows From Investing Activities,-133400000.0,-89000000.0,-110900000.0,-154100000.0
Net Borrowings,-82800000.0,12200000.0,89000000.0,118500000.0
Total Cash From Financing Activities,-145300000.0,-81300000.0,-97400000.0,-34000000.0
Change To Operating Activities,-10700000.0,11900000.0,-7600000.0,11100000.0
Issuance Of Stock,1100000.0,4300000.0,2200000.0,3500000.0
Net Income,93700000.0,47300000.0,185300000.0,182700000.0
Change In Cash,-22800000.0,22900000.0,36300000.0,36100000.0
Effect Of Exchange Rate,-300000.0,-300000.0,-100000.0,-100000.0
Total Cash From Operating Activities,256200000.0,193200000.0,244700000.0,224200000.0
Depreciation,91500000.0,91800000.0,85400000.0,80700000.0
Other Cashflows From Investing Activities,-2000000.0,-2700000.0,-2000000.0,-3100000.0
Dividends Paid,-63600000.0,-71720000.0,-136569000.0,-103990000.0
Change To Inventory,3100000.0,-3200000.0,-2100000.0,-9000000.0
Change To Account Receivables,20100000.0,3000000.0,16900000.0,-53000000.0
Change To Netincome,17600000.0,66400000.0,-10900000.0,-8300000.0
Capital Expenditures,-136400000.0,-91600000.0,-112700000.0,-89100000.0
