,2020-09-30,2019-09-30,2018-09-30,2017-09-30
Change To Liabilities,-44300000.0,134300000.0,127500000.0,68500000.0
Total Cashflows From Investing Activities,-247800000.0,-337400000.0,-2207600000.0,-236500000.0
Net Borrowings,615000000.0,-293100000.0,1434200000.0,-65500000.0
Total Cash From Financing Activities,357500000.0,-630300000.0,1135200000.0,-296600000.0
Change To Operating Activities,-46500000.0,4300000.0,-25400000.0,-4400000.0
Net Income,1377700000.0,698800000.0,542600000.0,495100000.0
Change In Cash,1107100000.0,140500000.0,-119000000.0,263900000.0
Repurchase Of Stock,-40400000.0,-24800000.0,-50000000.0,-45900000.0
Effect Of Exchange Rate,-25500000.0,22700000.0,19600000.0,-2100000.0
Total Cash From Operating Activities,1022900000.0,1085500000.0,933800000.0,799100000.0
Depreciation,331100000.0,280400000.0,227000000.0,165700000.0
Dividends Paid,-217100000.0,-312400000.0,-249000000.0,-185200000.0
Change To Inventory,13700000.0,12500000.0,-58100000.0,-20800000.0
Change To Account Receivables,289400000.0,-222400000.0,-25000000.0,-85900000.0
Change To Netincome,67800000.0,25300000.0,45600000.0,32600000.0
Capital Expenditures,-196100000.0,-247900000.0,-198100000.0,-123900000.0
