,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Change To Liabilities,31516000.0,5430000.0,5906000.0,2939000.0
Total Cashflows From Investing Activities,-5124000.0,-13004000.0,-14708000.0,-9041000.0
Net Borrowings,-5050000.0,-7000.0,-9000.0,-51000.0
Total Cash From Financing Activities,-38684000.0,-28135000.0,-25642000.0,-20842000.0
Change To Operating Activities,-4598000.0,479000.0,2980000.0,-246000.0
Net Income,30881000.0,52893000.0,37489000.0,28077000.0
Change In Cash,12552000.0,28072000.0,8186000.0,6134000.0
Effect Of Exchange Rate,-171000.0,145000.0,54000.0,156000.0
Total Cash From Operating Activities,56531000.0,69066000.0,48482000.0,35861000.0
Depreciation,10395000.0,5143000.0,4424000.0,3747000.0
Dividends Paid,-33634000.0,-28128000.0,-25633000.0,-20791000.0
Change To Inventory,-983000.0,-74000.0,-74000.0,-74000.0
Change To Account Receivables,-14990000.0,-6603000.0,-3958000.0,-685000.0
Change To Netincome,2791000.0,6684000.0,1920000.0,2390000.0
Capital Expenditures,-3871000.0,-5095000.0,-2824000.0,-4343000.0
