,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Investments,147779000.0,261334000.0,158755000.0,43898000.0
Change To Liabilities,-48432000.0,75016000.0,-17015000.0,38582000.0
Total Cashflows From Investing Activities,-1067473000.0,261334000.0,158755000.0,43898000.0
Net Borrowings,450530000.0,450530000.0,450530000.0,450530000.0
Total Cash From Financing Activities,944900000.0,-94285000.0,-82440000.0,-7029000.0
Net Income,519583000.0,225109000.0,85082000.0,-50561000.0
Change In Cash,-100677000.0,157986000.0,35265000.0,12460000.0
Effect Of Exchange Rate,3776000.0,6513000.0,673000.0,145000.0
Total Cash From Operating Activities,18120000.0,-15576000.0,-41723000.0,-24554000.0
Depreciation,36672000.0,36672000.0,36672000.0,36672000.0
Dividends Paid,-59334000.0,-4178000.0,-10272000.0,-33569000.0
Change To Account Receivables,15000.0,17874000.0,-16258000.0,-799000.0
Other Cashflows From Financing Activities,-36972000.0,-36972000.0,-36972000.0,-721000.0
Change To Netincome,-489718000.0,-333575000.0,-93532000.0,-11776000.0
Capital Expenditures,-277000.0,-277000.0,-277000.0,-277000.0
