,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Change To Liabilities,-48100000.0,120500000.0,137000000.0,137500000.0
Total Cashflows From Investing Activities,37900000.0,10200000.0,-241900000.0,-632000000.0
Net Borrowings,123000000.0,-59700000.0,30800000.0,326700000.0
Total Cash From Financing Activities,-1236400000.0,-764900000.0,-542700000.0,-223000000.0
Change To Operating Activities,28800000.0,-33300000.0,-165200000.0,-127200000.0
Issuance Of Stock,1000000.0,19300000.0,28100000.0,23800000.0
Net Income,612200000.0,430200000.0,575200000.0,564000000.0
Change In Cash,141000000.0,-19200000.0,59300000.0,45800000.0
Repurchase Of Stock,-603600000.0,-20200000.0,-35700000.0,-40200000.0
Effect Of Exchange Rate,-44700000.0,1000000.0,-27500000.0,-8100000.0
Total Cash From Operating Activities,1384200000.0,776100000.0,871400000.0,908900000.0
Depreciation,630100000.0,377900000.0,352700000.0,351800000.0
Other Cashflows From Investing Activities,-200000.0,-500000.0,-700000.0,-700000.0
Dividends Paid,-747600000.0,-666100000.0,-515500000.0,-480700000.0
Change To Inventory,25600000.0,3200000.0,-95000000.0,-48100000.0
Change To Account Receivables,133300000.0,-83700000.0,700000.0,-13200000.0
Other Cashflows From Financing Activities,-9200000.0,-38200000.0,-50400000.0,-52600000.0
Change To Netincome,-5800000.0,-44500000.0,60900000.0,39100000.0
Capital Expenditures,-399500000.0,-332200000.0,-365000000.0,-379300000.0
Investments,,,-13200000.0,-13200000.0
