,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Investments,-11900000.0,-11900000.0,-11900000.0,-11900000.0
Change To Liabilities,36600000.0,5000000.0,-28000000.0,7500000.0
Total Cashflows From Investing Activities,-74800000.0,-123700000.0,476800000.0,-107900000.0
Net Borrowings,-37900000.0,-37900000.0,-170900000.0,24300000.0
Total Cash From Financing Activities,-198300000.0,-253400000.0,-340600000.0,-66400000.0
Change To Operating Activities,6800000.0,4400000.0,-12200000.0,7200000.0
Net Income,158700000.0,111700000.0,484300000.0,147700000.0
Change In Cash,11400000.0,-192300000.0,273200000.0,43900000.0
Repurchase Of Stock,-82200000.0,-181100000.0,-92300000.0,-8700000.0
Effect Of Exchange Rate,-6400000.0,-4100000.0,-16600000.0,2000000.0
Total Cash From Operating Activities,290900000.0,188900000.0,153600000.0,216200000.0
Depreciation,50700000.0,32900000.0,33300000.0,31000000.0
Dividends Paid,-61200000.0,-59700000.0,-61100000.0,-60300000.0
Change To Inventory,-14000000.0,2400000.0,-700000.0,-38000000.0
Change To Account Receivables,12100000.0,3500000.0,-6900000.0,8200000.0
Other Cashflows From Financing Activities,-17000000.0,-12600000.0,-16300000.0,-21700000.0
Change To Netincome,29500000.0,31600000.0,-299000000.0,32900000.0
Capital Expenditures,-64800000.0,-43600000.0,-45700000.0,-51000000.0
Other Cashflows From Investing Activities,,-4700000.0,523200000.0,-2900000.0
