,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Investments,-70952000.0,58641000.0,-186674000.0,15093000.0
Change To Liabilities,2312000.0,550000.0,4602000.0,-1228000.0
Total Cashflows From Investing Activities,-70997000.0,58219000.0,-186700000.0,15104000.0
Net Borrowings,-309000.0,-309000.0,-309000.0,-309000.0
Total Cash From Financing Activities,-191932000.0,-184293000.0,-94722000.0,-109792000.0
Change To Operating Activities,8095000.0,134000.0,-1600000.0,-7264000.0
Net Income,199456000.0,292673000.0,218918000.0,211486000.0
Change In Cash,-50278000.0,110487000.0,-100964000.0,116339000.0
Total Cash From Operating Activities,212651000.0,236561000.0,180458000.0,211027000.0
Depreciation,414000.0,168000.0,61000.0,60000.0
Other Cashflows From Investing Activities,22000.0,22000.0,21000.0,20000.0
Dividends Paid,-191482000.0,-184164000.0,-178278000.0,-169851000.0
Change To Account Receivables,19836000.0,9394000.0,-2820000.0,-112000.0
Other Cashflows From Financing Activities,-141000.0,-129000.0,-566000.0,-399000.0
Change To Netincome,-17462000.0,-66358000.0,-38703000.0,8085000.0
Capital Expenditures,-67000.0,-444000.0,-47000.0,-9000.0
Issuance Of Stock,,,84122000.0,60458000.0
