,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Investments,-23600000.0,376700000.0,-11600000.0,-16200000.0
Change To Liabilities,13600000.0,7800000.0,15300000.0,2100000.0
Total Cashflows From Investing Activities,-105800000.0,292100000.0,-59900000.0,1941700000.0
Net Borrowings,-6100000.0,-6100000.0,-6100000.0,-6100000.0
Total Cash From Financing Activities,-702600000.0,-432700000.0,-400600000.0,-388800000.0
Change To Operating Activities,188800000.0,248500000.0,41400000.0,-5900000.0
Net Income,498600000.0,492000000.0,445100000.0,434100000.0
Change In Cash,525000000.0,-44100000.0,-87000000.0,2012800000.0
Effect Of Exchange Rate,-1200000.0,6600000.0,4700000.0,-22400000.0
Total Cash From Operating Activities,1335300000.0,89900000.0,367000000.0,483600000.0
Depreciation,25000000.0,13900000.0,13100000.0,13700000.0
Dividends Paid,-696500000.0,-432700000.0,-400600000.0,-388800000.0
Change To Account Receivables,3200000.0,-15600000.0,-3300000.0,-100000.0
Change To Netincome,23600000.0,2200000.0,21500000.0,4000000.0
Capital Expenditures,-82200000.0,-84600000.0,-48300000.0,-61000000.0
Other Cashflows From Investing Activities,,,,2018900000.0
