,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Investments,200000.0,200000.0,200000.0,200000.0
Change To Liabilities,4800000.0,-1900000.0,4200000.0,1300000.0
Total Cashflows From Investing Activities,-3600000.0,-100600000.0,-396500000.0,-41800000.0
Net Borrowings,-38000000.0,97400000.0,348700000.0,-132700000.0
Total Cash From Financing Activities,-64800000.0,24400000.0,277900000.0,25000000.0
Change To Operating Activities,-1800000.0,-9100000.0,26100000.0,-19200000.0
Issuance Of Stock,39200000.0,39200000.0,39200000.0,214700000.0
Net Income,56700000.0,110400000.0,135600000.0,158900000.0
Change In Cash,31100000.0,4500000.0,-30300000.0,29600000.0
Total Cash From Operating Activities,99500000.0,80700000.0,88300000.0,46400000.0
Depreciation,1100000.0,1100000.0,1100000.0,1100000.0
Dividends Paid,-65300000.0,-69300000.0,-67800000.0,-54400000.0
Change To Account Receivables,-4200000.0,400000.0,-1100000.0,2400000.0
Other Cashflows From Financing Activities,-700000.0,-3700000.0,-3000000.0,-2600000.0
Change To Netincome,42200000.0,-22000000.0,-77800000.0,-97800000.0
Capital Expenditures,-40200000.0,-44400000.0,-40400000.0,-21800000.0
