,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Investments,11300000.0,39200000.0,20800000.0,-16200000.0
Change To Liabilities,-100000.0,-300000.0,0.0,0.0
Total Cashflows From Investing Activities,11300000.0,39200000.0,20800000.0,-16200000.0
Net Borrowings,-10000000.0,-16200000.0,-16200000.0,-16200000.0
Total Cash From Financing Activities,-171400000.0,-571600000.0,-516700000.0,-212200000.0
Change To Operating Activities,500000.0,-1000000.0,700000.0,1200000.0
Net Income,146600000.0,214000000.0,635400000.0,339800000.0
Change In Cash,-4800000.0,-168600000.0,143800000.0,31400000.0
Repurchase Of Stock,-900000.0,-900000.0,-1200000.0,-2000000.0
Effect Of Exchange Rate,900000.0,-800000.0,-1600000.0,300000.0
Total Cash From Operating Activities,154400000.0,364600000.0,641300000.0,259500000.0
Dividends Paid,-160500000.0,-532800000.0,-515500000.0,-210200000.0
Change To Netincome,7400000.0,151900000.0,5200000.0,-81600000.0
Other Cashflows From Financing Activities,,-21700000.0,-21700000.0,-21700000.0
Change To Account Receivables,,,,100000.0
