,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Investments,-1000000.0,1031000.0,2577000.0,1063000.0
Change To Liabilities,-14865000.0,45286000.0,49241000.0,11620000.0
Total Cashflows From Investing Activities,-52576000.0,-322881000.0,-564836000.0,138110000.0
Net Borrowings,-71578000.0,48968000.0,21868000.0,152609000.0
Total Cash From Financing Activities,-91033000.0,229700000.0,52408000.0,257544000.0
Change To Operating Activities,15083000.0,-19160000.0,-2257000.0,-2886000.0
Net Income,21268000.0,4447000.0,28768000.0,138748000.0
Change In Cash,-5878000.0,7091000.0,-453864000.0,465875000.0
Total Cash From Operating Activities,137731000.0,100272000.0,58564000.0,70221000.0
Depreciation,38054000.0,35284000.0,28681000.0,24676000.0
Other Cashflows From Investing Activities,309000.0,426000.0,-52559000.0,-12695000.0
Dividends Paid,-19455000.0,-19127000.0,-19431000.0,-15260000.0
Change To Inventory,15253000.0,-35641000.0,-16819000.0,24500000.0
Change To Account Receivables,61035000.0,54930000.0,-36438000.0,-10795000.0
Change To Netincome,-2769000.0,19675000.0,8676000.0,-110692000.0
Capital Expenditures,-42752000.0,-42300000.0,-26998000.0,-26568000.0
Issuance Of Stock,,199859000.0,49971000.0,120195000.0
