,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Change To Liabilities,-291500000.0,245700000.0,-357500000.0,259600000.0
Total Cashflows From Investing Activities,-570300000.0,-388200000.0,-380400000.0,-408300000.0
Net Borrowings,-168300000.0,18800000.0,-154600000.0,-254700000.0
Total Cash From Financing Activities,-483800000.0,-606000000.0,-581500000.0,-508700000.0
Change To Operating Activities,1600000.0,-93400000.0,22900000.0,80500000.0
Net Income,96500000.0,1015800000.0,1569100000.0,715900000.0
Change In Cash,-243900000.0,700400000.0,191100000.0,203000000.0
Repurchase Of Stock,-228500000.0,-502000000.0,-300300000.0,-150400000.0
Effect Of Exchange Rate,-7700000.0,12300000.0,12300000.0,-12400000.0
Total Cash From Operating Activities,817900000.0,1682300000.0,1140700000.0,1132400000.0
Depreciation,515100000.0,395000000.0,354900000.0,360100000.0
Other Cashflows From Investing Activities,3700000.0,70300000.0,3100000.0,3100000.0
Dividends Paid,-71500000.0,-75800000.0,-61700000.0,-40200000.0
Change To Inventory,113200000.0,-54500000.0,-238300000.0,-322300000.0
Change To Account Receivables,139000000.0,215300000.0,-93800000.0,-105100000.0
Other Cashflows From Financing Activities,-15500000.0,-47000000.0,-64900000.0,-63400000.0
Change To Netincome,215900000.0,-28100000.0,-169300000.0,130900000.0
Capital Expenditures,-561700000.0,-362300000.0,-395400000.0,-368700000.0
Investments,,-42000000.0,-42000000.0,26600000.0
