,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Change To Liabilities,2883000.0,-1779000.0,9113000.0,5750000.0
Total Cashflows From Investing Activities,-19013000.0,-25677000.0,-22453000.0,-23660000.0
Net Borrowings,-2983000.0,-2983000.0,-2983000.0,-26935000.0
Total Cash From Financing Activities,-29981000.0,-26873000.0,-19593000.0,-44659000.0
Change To Operating Activities,3273000.0,-1330000.0,615000.0,-1491000.0
Net Income,63795000.0,45665000.0,41575000.0,43515000.0
Change In Cash,55309000.0,9810000.0,6290000.0,7088000.0
Effect Of Exchange Rate,319000.0,267000.0,118000.0,-173000.0
Total Cash From Operating Activities,103984000.0,62093000.0,48218000.0,75580000.0
Depreciation,7612000.0,3472000.0,5270000.0,6351000.0
Dividends Paid,-22498000.0,-15228000.0,-14250000.0,-12406000.0
Change To Inventory,4097000.0,-5115000.0,-561000.0,-2549000.0
Change To Account Receivables,-6300000.0,10777000.0,-9227000.0,-1458000.0
Change To Netincome,8067000.0,-1370000.0,-9958000.0,17748000.0
Capital Expenditures,-3759000.0,-4132000.0,-3427000.0,-4064000.0
