,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Investments,-1623400000.0,-1101300000.0,-2463400000.0,-2424400000.0
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-1478200000.0,-760300000.0,-2320200000.0,-2111100000.0
Net Borrowings,818600000.0,317400000.0,280400000.0,709500000.0
Total Cash From Financing Activities,863300000.0,60900000.0,544700000.0,477200000.0
Change To Operating Activities,-100400000.0,62300000.0,1503200000.0,956200000.0
Issuance Of Stock,275300000.0,6800000.0,506600000.0,8000000.0
Net Income,-416000000.0,307800000.0,322500000.0,397600000.0
Change In Cash,-130000000.0,-47100000.0,201900000.0,-36700000.0
Repurchase Of Stock,-8300000.0,-47500000.0,-36700000.0,-39500000.0
Total Cash From Operating Activities,484900000.0,652300000.0,1977400000.0,1597200000.0
Depreciation,12300000.0,11700000.0,11900000.0,9500000.0
Dividends Paid,-216400000.0,-215800000.0,-205600000.0,-189600000.0
Change To Account Receivables,7900000.0,36900000.0,24100000.0,5600000.0
Other Cashflows From Financing Activities,-5900000.0,-5900000.0,-5900000.0,-11200000.0
Change To Netincome,1176700000.0,163500000.0,221600000.0,191200000.0
Capital Expenditures,-9300000.0,-59900000.0,-69900000.0,-19000000.0
