,2017-06-30,2016-06-30,2015-06-30,2014-06-30
Investments,-264010000.0,-58314000.0,-208112000.0,-124256000.0
Change To Liabilities,22756000.0,11835000.0,4072000.0,2981000.0
Total Cashflows From Investing Activities,-257606000.0,-49942000.0,-170095000.0,-119142000.0
Net Borrowings,-35325000.0,-35325000.0,-523000.0,-28024000.0
Total Cash From Financing Activities,130352000.0,-86648000.0,170242000.0,69692000.0
Change To Operating Activities,-129935000.0,-101344000.0,-34297000.0,-18544000.0
Net Income,257561000.0,215240000.0,117885000.0,82116000.0
Change In Cash,29060000.0,-6235000.0,101409000.0,37948000.0
Total Cash From Operating Activities,156314000.0,130326000.0,101183000.0,87333000.0
Depreciation,8760000.0,11536000.0,10925000.0,10120000.0
Other Cashflows From Investing Activities,9535000.0,-2585000.0,23612000.0,5458000.0
Dividends Paid,-115561000.0,-103644000.0,-82284000.0,-65437000.0
Change To Account Receivables,-11420000.0,999000.0,689000.0,3433000.0
Change To Netincome,8592000.0,-7940000.0,1909000.0,7227000.0
Capital Expenditures,-4599000.0,-4917000.0,-5190000.0,-2343000.0
Effect Of Exchange Rate,,29000.0,79000.0,65000.0
