,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Change To Liabilities,-661000000.0,125500000.0,768200000.0,49600000.0
Total Cashflows From Investing Activities,1533500000.0,-1191000000.0,-545200000.0,-432800000.0
Net Borrowings,440900000.0,70000000.0,-619700000.0,-210100000.0
Total Cash From Financing Activities,148200000.0,-460000000.0,-1089900000.0,-643600000.0
Change To Operating Activities,-212900000.0,-317300000.0,-217800000.0,-67800000.0
Net Income,620100000.0,-1039900000.0,778500000.0,702100000.0
Change In Cash,1332500000.0,-391700000.0,327900000.0,237300000.0
Repurchase Of Stock,-281300000.0,-16700000.0,-16700000.0,-16700000.0
Effect Of Exchange Rate,-84000000.0,9800000.0,62700000.0,-48700000.0
Total Cash From Operating Activities,-265200000.0,1249500000.0,1900300000.0,1362400000.0
Depreciation,292100000.0,917600000.0,727100000.0,511300000.0
Change To Inventory,104200000.0,-91200000.0,-34800000.0,-4200000.0
Change To Account Receivables,-484800000.0,-426700000.0,-590700000.0,-149700000.0
Other Cashflows From Financing Activities,-11400000.0,-4200000.0,-4200000.0,-37900000.0
Change To Netincome,-91700000.0,2146900000.0,233500000.0,165000000.0
Capital Expenditures,-579700000.0,-774400000.0,-547400000.0,-424100000.0
Investments,,-29100000.0,-51900000.0,-13200000.0
Other Cashflows From Investing Activities,,-398600000.0,-1100000.0,-99900000.0
Dividends Paid,,-509100000.0,-470200000.0,-395600000.0
