,2017-06-30,2016-06-30,2015-06-30,2014-06-30
Investments,-25200000.0,-273000000.0,8500000.0,-85220000.0
Change To Liabilities,-11700000.0,6800000.0,300000.0,-312000.0
Total Cashflows From Investing Activities,-189700000.0,-176000000.0,-51400000.0,96945000.0
Net Borrowings,201600000.0,83300000.0,53600000.0,-128078000.0
Total Cash From Financing Activities,59900000.0,-50800000.0,-94000000.0,-252682000.0
Change To Operating Activities,200000.0,400000.0,100000.0,51000.0
Net Income,277500000.0,329600000.0,148800000.0,182471000.0
Change In Cash,25300000.0,-67400000.0,-8800000.0,-8113000.0
Effect Of Exchange Rate,800000.0,300000.0,-7600000.0,-7600000.0
Total Cash From Operating Activities,154300000.0,159100000.0,144200000.0,147624000.0
Depreciation,6100000.0,8600000.0,2800000.0,346000.0
Other Cashflows From Investing Activities,33100000.0,-33400000.0,-700000.0,-700000.0
Dividends Paid,-139900000.0,-130900000.0,-125600000.0,-118094000.0
Change To Account Receivables,2000000.0,-12900000.0,1000000.0,3238000.0
Other Cashflows From Financing Activities,-2900000.0,-4200000.0,-23100000.0,-7503000.0
Change To Netincome,-148200000.0,-195000000.0,-26200000.0,-54241000.0
