,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Change To Liabilities,-12000000.0,5000000.0,24000000.0,1000000.0
Total Cashflows From Investing Activities,-682000000.0,-810000000.0,-770000000.0,-642000000.0
Net Borrowings,-156000000.0,419000000.0,45000000.0,113000000.0
Total Cash From Financing Activities,-70000000.0,537000000.0,142000000.0,186000000.0
Net Income,52000000.0,53000000.0,85000000.0,113000000.0
Change In Cash,-278000000.0,223000000.0,-120000000.0,68000000.0
Total Cash From Operating Activities,474000000.0,496000000.0,508000000.0,524000000.0
Depreciation,346000000.0,328000000.0,305000000.0,295000000.0
Dividends Paid,-76000000.0,-49000000.0,-43000000.0,-44000000.0
Change To Account Receivables,6000000.0,-4000000.0,-15000000.0,19000000.0
Other Cashflows From Financing Activities,162000000.0,167000000.0,117000000.0,117000000.0
Change To Netincome,4000000.0,20000000.0,16000000.0,29000000.0
Capital Expenditures,-682000000.0,-810000000.0,-770000000.0,-642000000.0
Issuance Of Stock,,,23000000.0,23000000.0
