,2020-06-28,2019-06-30,2018-06-30,2007-07-29
Investments,-11000000.0,-6000000.0,-6000000.0,151200000.0
Change To Liabilities,218000000.0,-100000000.0,161300000.0,27800000.0
Total Cashflows From Investing Activities,-658000000.0,-280000000.0,-502500000.0,-857000000.0
Net Borrowings,-952000000.0,-2048000000.0,-131000000.0,481200000.0
Total Cash From Financing Activities,-1842000000.0,-1611000000.0,-1237000000.0,-21000000.0
Change To Operating Activities,165000000.0,513000000.0,65100000.0,-156900000.0
Net Income,978000000.0,1435000000.0,1578800000.0,747800000.0
Change In Cash,52000000.0,384000000.0,170400000.0,64500000.0
Repurchase Of Stock,-17000000.0,-565000000.0,-565000000.0,-78400000.0
Total Cash From Operating Activities,2552000000.0,2275000000.0,1909900000.0,942500000.0
Depreciation,1404000000.0,516000000.0,504900000.0,483200000.0
Dividends Paid,-719450000.0,-320000000.0,-1106000000.0,-500700000.0
Change To Inventory,-201000000.0,137000000.0,1700000.0,-103300000.0
Change To Account Receivables,-78000000.0,-45000000.0,16900000.0,16700000.0
Change To Netincome,17000000.0,-448000000.0,-540000000.0,-106500000.0
Capital Expenditures,-833000000.0,-1104000000.0,-714700000.0,-1040800000.0
Other Cashflows From Financing Activities,,1322000000.0,1322000000.0,1322000000.0
Issuance Of Stock,,,,76900000.0
