,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Change To Liabilities,157800000.0,136200000.0,259800000.0,42300000.0
Total Cashflows From Investing Activities,-1366700000.0,-1287300000.0,-1534100000.0,-862900000.0
Net Borrowings,198800000.0,288300000.0,423400000.0,800100000.0
Total Cash From Financing Activities,-642700000.0,-491500000.0,-371500000.0,-103400000.0
Change To Operating Activities,-27000000.0,18600000.0,29800000.0,28500000.0
Issuance Of Stock,42000000.0,31800000.0,15700000.0,12700000.0
Net Income,2102500000.0,1918700000.0,1728900000.0,1337400000.0
Change In Cash,494000000.0,-155000000.0,-30300000.0,287700000.0
Effect Of Exchange Rate,14600000.0,-20500000.0,-26800000.0,7400000.0
Total Cash From Operating Activities,2488300000.0,1644400000.0,1902100000.0,1246600000.0
Depreciation,758900000.0,310400000.0,253500000.0,247100000.0
Other Cashflows From Investing Activities,18700000.0,-2500000.0,-2500000.0,-2500000.0
Dividends Paid,-883100000.0,-806800000.0,-672200000.0,-601300000.0
Change To Inventory,-686000000.0,-558300000.0,-138000000.0,-389200000.0
Change To Account Receivables,124900000.0,-367100000.0,-304800000.0,-72500000.0
Other Cashflows From Financing Activities,-400000.0,-4800000.0,-4800000.0,-4800000.0
Change To Netincome,-11500000.0,120800000.0,29700000.0,20900000.0
Capital Expenditures,-1206800000.0,-1117600000.0,-778800000.0,-689000000.0
Investments,,,-1800000.0,-2400000.0
Repurchase Of Stock,,,-138400000.0,-314900000.0
