,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Investments,-3900000.0,2100000.0,126300000.0,3167200000.0
Change To Liabilities,-75000000.0,-47500000.0,-19600000.0,-10500000.0
Total Cashflows From Investing Activities,-750100000.0,-532000000.0,200900000.0,2817100000.0
Net Borrowings,-13700000.0,-425000000.0,-428500000.0,-344400000.0
Total Cash From Financing Activities,-419900000.0,-965400000.0,-860700000.0,-1955100000.0
Net Income,79500000.0,401800000.0,558900000.0,1866100000.0
Change In Cash,-839100000.0,-718600000.0,73400000.0,1321500000.0
Effect Of Exchange Rate,4000000.0,700000.0,1500000.0,-6200000.0
Total Cash From Operating Activities,326900000.0,778100000.0,731700000.0,465700000.0
Depreciation,274000000.0,272000000.0,284400000.0,295300000.0
Dividends Paid,-406200000.0,-409000000.0,-413400000.0,-506232826.0
Change To Inventory,-500000.0,600000.0,200000.0,-1200000.0
Change To Account Receivables,74900000.0,53600000.0,60400000.0,-36300000.0
Change To Netincome,86200000.0,-20600000.0,-292500000.0,-1655800000.0
Capital Expenditures,-746300000.0,-538700000.0,-393700000.0,-404500000.0
Repurchase Of Stock,,-131400000.0,-18800000.0,-499900000.0
Other Cashflows From Investing Activities,,4400000.0,-1500000.0,-2000000.0
