,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Investments,-12000000.0,4600000.0,-7800000.0,-7800000.0
Change To Liabilities,20700000.0,18600000.0,14900000.0,-1000000.0
Total Cashflows From Investing Activities,-282200000.0,-216500000.0,-811800000.0,-183800000.0
Net Borrowings,-23400000.0,-73900000.0,56600000.0,13300000.0
Total Cash From Financing Activities,-95700000.0,-130100000.0,599400000.0,-10900000.0
Change To Operating Activities,-40300000.0,-59600000.0,-35900000.0,-46600000.0
Net Income,112900000.0,120400000.0,103500000.0,72500000.0
Change In Cash,23600000.0,4200000.0,8800000.0,-5100000.0
Total Cash From Operating Activities,401500000.0,350800000.0,221200000.0,189600000.0
Depreciation,262600000.0,220800000.0,173600000.0,158400000.0
Other Cashflows From Investing Activities,-2000000.0,4000000.0,-111900000.0,800000.0
Dividends Paid,-69400000.0,-55000000.0,-32900000.0,-23600000.0
Change To Inventory,-200000.0,4200000.0,-4100000.0,700000.0
Change To Account Receivables,28500000.0,-10400000.0,-37900000.0,-23300000.0
Other Cashflows From Financing Activities,-2900000.0,-1200000.0,-14700000.0,-600000.0
Change To Netincome,12700000.0,53900000.0,4700000.0,28400000.0
Capital Expenditures,-200200000.0,-186600000.0,-135800000.0,-144100000.0
Issuance Of Stock,,,590400000.0,590400000.0
