,2020-06-30,2019-06-30,2018-06-24,2017-06-25
Change To Liabilities,3896000.0,2439000.0,-5529000.0,10993000.0
Total Cashflows From Investing Activities,-35018000.0,-24267000.0,-20435000.0,-10850000.0
Net Borrowings,2179000.0,-25000000.0,13399000.0,-6738000.0
Total Cash From Financing Activities,-36617000.0,-63309000.0,-23000000.0,-14988000.0
Change To Operating Activities,13850000.0,-11448000.0,13840000.0,482000.0
Net Income,-227676000.0,-137583000.0,-6153000.0,30253000.0
Change In Cash,16182000.0,-11517000.0,2540000.0,37570000.0
Total Cash From Operating Activities,87817000.0,76059000.0,45975000.0,63408000.0
Depreciation,17968000.0,10457000.0,8673000.0,7371000.0
Other Cashflows From Investing Activities,363000.0,363000.0,363000.0,363000.0
Dividends Paid,-34985000.0,-34830000.0,-22995000.0,-22995000.0
Change To Account Receivables,10127000.0,15777000.0,-10306000.0,-2308000.0
Other Cashflows From Financing Activities,-3811000.0,-3479000.0,-13404000.0,-8250000.0
Change To Netincome,249694000.0,178879000.0,32172000.0,8179000.0
Capital Expenditures,-20618000.0,-22828000.0,-20435000.0,-9700000.0
Investments,,103000.0,103000.0,103000.0
