,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Investments,-3600000.0,-14000000.0,-6700000.0,600000.0
Change To Liabilities,15800000.0,65900000.0,607700000.0,160700000.0
Total Cashflows From Investing Activities,-397900000.0,-509700000.0,-729600000.0,-995800000.0
Net Borrowings,195800000.0,155100000.0,69200000.0,-48800000.0
Total Cash From Financing Activities,105100000.0,-19800000.0,-87700000.0,830500000.0
Change To Operating Activities,-18400000.0,-2200000.0,-70600000.0,-13000000.0
Net Income,-150300000.0,261800000.0,71400000.0,181500000.0
Change In Cash,-122200000.0,104500000.0,-238400000.0,275200000.0
Effect Of Exchange Rate,-8200000.0,3800000.0,-4400000.0,-1100000.0
Total Cash From Operating Activities,178800000.0,630200000.0,583300000.0,441600000.0
Depreciation,488100000.0,330400000.0,345000000.0,200600000.0
Dividends Paid,-90700000.0,-174900000.0,-156700000.0,-110600000.0
Change To Inventory,-31900000.0,-29300000.0,-17200000.0,38700000.0
Change To Account Receivables,-315100000.0,-67100000.0,-479100000.0,-159800000.0
Change To Netincome,154700000.0,36900000.0,95200000.0,10300000.0
Capital Expenditures,-324700000.0,-398800000.0,-356800000.0,-203600000.0
Other Cashflows From Investing Activities,,1700000.0,1700000.0,1200000.0
Other Cashflows From Financing Activities,,,-200000.0,-200000.0
Issuance Of Stock,,,,989900000.0
