,2020-09-30,2019-09-30,2018-09-30,2017-09-30
Investments,-3300000.0,-400000.0,-650000.0,-30306000.0
Change To Liabilities,90164000.0,-26714000.0,-7475000.0,7532000.0
Total Cashflows From Investing Activities,-123148000.0,-42488000.0,-38391000.0,-42011000.0
Net Borrowings,51669000.0,-83944000.0,52867000.0,8622000.0
Total Cash From Financing Activities,24235000.0,26924000.0,26978000.0,-39553000.0
Net Income,122947000.0,68935000.0,71568000.0,115995000.0
Change In Cash,43428000.0,-4328000.0,-23545000.0,35000.0
Total Cash From Operating Activities,142341000.0,11236000.0,-12132000.0,81599000.0
Depreciation,41792000.0,5130000.0,4396000.0,3723000.0
Dividends Paid,-25194000.0,-19267000.0,-17769000.0,-3557000.0
Change To Inventory,-61905000.0,1946000.0,-36893000.0,-505000.0
Change To Account Receivables,-73654000.0,-39208000.0,-47823000.0,-13143000.0
Other Cashflows From Financing Activities,-2240000.0,-2341000.0,-2721000.0,-2482000.0
Change To Netincome,22997000.0,1147000.0,4095000.0,-32003000.0
Capital Expenditures,-7378000.0,-3718000.0,-4099000.0,-3481000.0
Issuance Of Stock,,132476000.0,2651000.0,2651000.0
Other Cashflows From Investing Activities,,2700000.0,2700000.0,2700000.0
Repurchase Of Stock,,,,-42136000.0
