,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Investments,-1500000.0,-41786000.0,-2500000.0,-3000.0
Change To Liabilities,14314000.0,1967000.0,8179000.0,4957000.0
Total Cashflows From Investing Activities,-1003977000.0,-382187000.0,-270284000.0,-1120794000.0
Net Borrowings,257282000.0,-95000000.0,-48214000.0,140082000.0
Total Cash From Financing Activities,35906000.0,-222111000.0,-158087000.0,490156000.0
Change To Operating Activities,26137000.0,-2504000.0,-527000.0,-3162000.0
Net Income,301552000.0,218188000.0,263388000.0,217607000.0
Change In Cash,37428000.0,11938000.0,285841000.0,20090000.0
Effect Of Exchange Rate,175000.0,175000.0,46000.0,-67000.0
Total Cash From Operating Activities,1005324000.0,616236000.0,714166000.0,650795000.0
Depreciation,440970000.0,380741000.0,410060000.0,401469000.0
Other Cashflows From Investing Activities,1237000.0,-1455000.0,-438000.0,-6987000.0
Dividends Paid,-221376000.0,-127111000.0,-109873000.0,-52419000.0
Change To Inventory,27529000.0,-13039000.0,-26728000.0,-41586000.0
Change To Account Receivables,-2343000.0,-14991000.0,-9509000.0,-36237000.0
Change To Netincome,190431000.0,43406000.0,68563000.0,80626000.0
Capital Expenditures,-469200000.0,-339788000.0,-307928000.0,-1156312000.0
Issuance Of Stock,,,,408808000.0
Other Cashflows From Financing Activities,,,,-6315000.0
