,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Investments,92817000.0,37193000.0,-1685000.0,-39263000.0
Change To Liabilities,-220588000.0,-26576000.0,28209000.0,96693000.0
Total Cashflows From Investing Activities,-48109000.0,-218302000.0,-146444000.0,-161251000.0
Net Borrowings,162212000.0,148686000.0,-22231000.0,-20447000.0
Total Cash From Financing Activities,757204000.0,-175068000.0,-186197000.0,-155988000.0
Change To Operating Activities,6494000.0,13185000.0,9806000.0,4112000.0
Issuance Of Stock,694234000.0,5870000.0,5147000.0,5614000.0
Net Income,-662166000.0,263825000.0,263577000.0,230773000.0
Change In Cash,693545000.0,-100740000.0,-8656000.0,-33738000.0
Effect Of Exchange Rate,-21204000.0,13747000.0,9648000.0,-11853000.0
Total Cash From Operating Activities,5654000.0,278883000.0,314337000.0,295354000.0
Depreciation,208232000.0,64158000.0,64394000.0,61262000.0
Other Cashflows From Investing Activities,380000.0,107000.0,2543000.0,-3057000.0
Dividends Paid,-99097000.0,-168810000.0,-155629000.0,-138339000.0
Change To Inventory,-3000.0,-34000.0,-407000.0,490000.0
Change To Account Receivables,612096000.0,-38516000.0,-74936000.0,-98239000.0
Other Cashflows From Financing Activities,-145000.0,-346000.0,-35000.0,-35000.0
Change To Netincome,239840000.0,-1796000.0,-2371000.0,730000.0
Capital Expenditures,-42663000.0,-53352000.0,-50957000.0,-75786000.0
Repurchase Of Stock,,-9837000.0,-13449000.0,-2816000.0
