,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,-202600000.0,15000000.0,7500000.0,-100000000.0
Change To Liabilities,65700000.0,46900000.0,17400000.0,6600000.0
Total Cashflows From Investing Activities,-387300000.0,-155700000.0,-125700000.0,-198500000.0
Net Borrowings,-10200000.0,-14900000.0,-600000.0,21600000.0
Total Cash From Financing Activities,-188000000.0,-159000000.0,-113100000.0,-79100000.0
Issuance Of Stock,3500000.0,2300000.0,2100000.0,1800000.0
Net Income,524200000.0,287300000.0,209200000.0,190200000.0
Change In Cash,49000000.0,5500000.0,15100000.0,-29800000.0
Effect Of Exchange Rate,-1000000.0,-1200000.0,600000.0,600000.0
Total Cash From Operating Activities,625300000.0,321400000.0,253300000.0,247800000.0
Depreciation,80500000.0,56400000.0,37800000.0,41000000.0
Dividends Paid,-161200000.0,-130400000.0,-101000000.0,-91800000.0
Change To Inventory,-124100000.0,-10400000.0,-10700000.0,9600000.0
Change To Account Receivables,-5100000.0,-64800000.0,-11800000.0,-16400000.0
Change To Netincome,79600000.0,1400000.0,7500000.0,6100000.0
Capital Expenditures,-160200000.0,-145300000.0,-115400000.0,-83200000.0
