,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Investments,-7700000.0,-400000.0,-400000.0,-400000.0
Change To Liabilities,-500000.0,35700000.0,25500000.0,13300000.0
Total Cashflows From Investing Activities,-103200000.0,-92700000.0,-82200000.0,-409600000.0
Net Borrowings,-28600000.0,1200000.0,-9000000.0,376000000.0
Total Cash From Financing Activities,-233700000.0,-206100000.0,-226900000.0,154000000.0
Change To Operating Activities,-1400000.0,9300000.0,-8100000.0,30000000.0
Net Income,46000000.0,59100000.0,19700000.0,118700000.0
Change In Cash,-29400000.0,12600000.0,21500000.0,-7100000.0
Repurchase Of Stock,-100000.0,-1300000.0,-1100000.0,-1100000.0
Total Cash From Operating Activities,307500000.0,311400000.0,330600000.0,248500000.0
Depreciation,192200000.0,185300000.0,190400000.0,163300000.0
Dividends Paid,-138400000.0,-131600000.0,-147700000.0,-164000000.0
Change To Inventory,32800000.0,-55200000.0,4200000.0,-500000.0
Change To Account Receivables,-10500000.0,-700000.0,-4900000.0,-35400000.0
Other Cashflows From Financing Activities,-66600000.0,-74400000.0,-69100000.0,-58000000.0
Change To Netincome,40100000.0,73300000.0,86600000.0,-49900000.0
Capital Expenditures,-76300000.0,-72800000.0,-50100000.0,-32200000.0
