,2017-06-30,2016-06-30,2015-06-30,2014-06-30
Change To Liabilities,-221000.0,-210000.0,-202000.0,123000.0
Total Cashflows From Investing Activities,-67051000.0,-354590000.0,-66031000.0,-395870000.0
Net Borrowings,-77646000.0,351446000.0,20202000.0,83198000.0
Total Cash From Financing Activities,-133651000.0,264571000.0,-20819000.0,319142000.0
Change To Operating Activities,6115000.0,4480000.0,-27859000.0,-2982000.0
Net Income,278090000.0,219377000.0,283004000.0,117348000.0
Change In Cash,-39202000.0,43803000.0,5537000.0,11916000.0
Total Cash From Operating Activities,161500000.0,133822000.0,92387000.0,88644000.0
Depreciation,162000.0,128000.0,137000.0,145000.0
Other Cashflows From Investing Activities,501000.0,559000.0,761000.0,718000.0
Dividends Paid,-140077000.0,-114405000.0,-101201000.0,-77403000.0
Change To Account Receivables,-5141000.0,-5049000.0,-6303000.0,-5566000.0
Other Cashflows From Financing Activities,-19792000.0,-12602000.0,-13566000.0,-18183000.0
Change To Netincome,-119917000.0,-86589000.0,-158423000.0,-21548000.0
Capital Expenditures,-1281000.0,-11000.0,-15000.0,-58000.0
