,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Investments,-7430000.0,16716000.0,6073000.0,-15645000.0
Change To Liabilities,76908000.0,48056000.0,56082000.0,72238000.0
Total Cashflows From Investing Activities,-136963000.0,-66203000.0,-303485000.0,-198765000.0
Net Borrowings,-654541000.0,-68036000.0,197161000.0,56825000.0
Total Cash From Financing Activities,-811371000.0,-246289000.0,-68104000.0,-287124000.0
Change To Operating Activities,1093000.0,7531000.0,10303000.0,-19175000.0
Issuance Of Stock,165675000.0,163869000.0,2072000.0,1013000.0
Net Income,480541000.0,402317000.0,375378000.0,448976000.0
Change In Cash,108630000.0,60353000.0,82581000.0,-60749000.0
Total Cash From Operating Activities,1056964000.0,372845000.0,454170000.0,425140000.0
Depreciation,129571000.0,65538000.0,66452000.0,61111000.0
Other Cashflows From Investing Activities,-10664000.0,-4280000.0,-92424000.0,-7594000.0
Dividends Paid,-247745000.0,-342122000.0,-267337000.0,-344962000.0
Change To Inventory,791000.0,-25080000.0,-29738000.0,165000.0
Change To Account Receivables,238782000.0,-75548000.0,-29595000.0,-72818000.0
Change To Netincome,53904000.0,-66081000.0,13882000.0,-81945000.0
Capital Expenditures,-93905000.0,-94222000.0,-93895000.0,-89366000.0
