,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Investments,968000000.0,668000000.0,387000000.0,1081000000.0
Change To Liabilities,-209000000.0,-91000000.0,-9000000.0,210000000.0
Total Cashflows From Investing Activities,1568000000.0,1075000000.0,391000000.0,1118000000.0
Net Borrowings,-625000000.0,97000000.0,346000000.0,-333000000.0
Total Cash From Financing Activities,-1323000000.0,-1319000000.0,-475000000.0,-1378000000.0
Change To Operating Activities,10000000.0,-156000000.0,-1232000000.0,-677000000.0
Net Income,435000000.0,1076000000.0,923000000.0,929000000.0
Change In Cash,624000000.0,353000000.0,-135000000.0,376000000.0
Effect Of Exchange Rate,-2000000.0,8000000.0,2000000.0,2000000.0
Total Cash From Operating Activities,381000000.0,589000000.0,-53000000.0,636000000.0
Depreciation,169000000.0,118000000.0,112000000.0,109000000.0
Dividends Paid,-693000000.0,-750000000.0,-803000000.0,-623000000.0
Other Cashflows From Financing Activities,-5000000.0,-71000000.0,-18000000.0,-106000000.0
Change To Netincome,-42000000.0,-410000000.0,95000000.0,11000000.0
Repurchase Of Stock,,-465000000.0,-465000000.0,-316000000.0
