,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Change To Liabilities,-127000000.0,87300000.0,-42000000.0,-3200000.0
Total Cashflows From Investing Activities,-66100000.0,-195500000.0,-309700000.0,-91800000.0
Net Borrowings,-18700000.0,-200000.0,-200000000.0,-341200000.0
Total Cash From Financing Activities,-51300000.0,-81000000.0,-320700000.0,-367700000.0
Change To Operating Activities,24100000.0,17900000.0,-4700000.0,-32000000.0
Net Income,2411900000.0,-279900000.0,303900000.0,-171600000.0
Change In Cash,-10200000.0,46000000.0,-2300000.0,-47700000.0
Effect Of Exchange Rate,-4500000.0,300000.0,1600000.0,-1900000.0
Total Cash From Operating Activities,111700000.0,322200000.0,626500000.0,413700000.0
Depreciation,199200000.0,182900000.0,110300000.0,125100000.0
Dividends Paid,-32600000.0,-99900000.0,-108300000.0,-25100000.0
Change To Inventory,-196200000.0,-35200000.0,85900000.0,203400000.0
Change To Account Receivables,93400000.0,-39800000.0,7500000.0,-31100000.0
Change To Netincome,-2231000000.0,430900000.0,11900000.0,329000000.0
Capital Expenditures,-71200000.0,-197500000.0,-311500000.0,-93100000.0
Repurchase Of Stock,,-7400000.0,-12400000.0,-12400000.0
Other Cashflows From Financing Activities,,26500000.0,26500000.0,-1400000.0
Other Cashflows From Investing Activities,,,-600000.0,-2300000.0
