,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Change To Liabilities,203800000.0,-20400000.0,24800000.0,-8200000.0
Total Cashflows From Investing Activities,-43000000.0,-59100000.0,-54000000.0,-885500000.0
Net Borrowings,-601800000.0,-30500000.0,-89700000.0,450000000.0
Total Cash From Financing Activities,-805800000.0,-195400000.0,-239100000.0,715900000.0
Change To Operating Activities,15300000.0,23700000.0,7600000.0,4600000.0
Issuance Of Stock,1300000.0,1900000.0,3000000.0,395900000.0
Net Income,302300000.0,249800000.0,233200000.0,172400000.0
Change In Cash,132300000.0,47200000.0,-800000.0,20900000.0
Repurchase Of Stock,-32900000.0,-8800000.0,-8800000.0,-8800000.0
Effect Of Exchange Rate,-200000.0,100000.0,200000.0,-100000.0
Total Cash From Operating Activities,981300000.0,301600000.0,292100000.0,190600000.0
Depreciation,214400000.0,54700000.0,60400000.0,53900000.0
Dividends Paid,-172300000.0,-157400000.0,-151600000.0,-119100000.0
Change To Inventory,146600000.0,5900000.0,-33000000.0,-56300000.0
Change To Account Receivables,36300000.0,-28900000.0,-10700000.0,3000000.0
Other Cashflows From Financing Activities,-100000.0,-600000.0,-800000.0,-10900000.0
Change To Netincome,34700000.0,20500000.0,12900000.0,24500000.0
Capital Expenditures,-43100000.0,-59300000.0,-54400000.0,-49100000.0
