,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Investments,116800000.0,-317000000.0,77500000.0,149400000.0
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,129400000.0,-389300000.0,100900000.0,522100000.0
Net Borrowings,-600000.0,-1100000.0,-96600000.0,-93400000.0
Total Cash From Financing Activities,-491000000.0,-207000000.0,-616800000.0,-507300000.0
Change To Operating Activities,35300000.0,-73400000.0,45100000.0,53100000.0
Issuance Of Stock,1000000.0,1000000.0,8600000.0,6000000.0
Net Income,161600000.0,427600000.0,523800000.0,655500000.0
Change In Cash,311600000.0,-120100000.0,122400000.0,471000000.0
Repurchase Of Stock,-179900000.0,-238900000.0,-186400000.0,-52100000.0
Effect Of Exchange Rate,27500000.0,13000000.0,-32500000.0,12100000.0
Total Cash From Operating Activities,645700000.0,463200000.0,670800000.0,444100000.0
Depreciation,49200000.0,62600000.0,62600000.0,52800000.0
Other Cashflows From Investing Activities,-11200000.0,-34500000.0,16000000.0,-15600000.0
Dividends Paid,-262900000.0,-272400000.0,-275100000.0,-256000000.0
Change To Account Receivables,7600000.0,400000.0,3900000.0,-900000.0
Other Cashflows From Financing Activities,-48600000.0,305400000.0,-67300000.0,-111800000.0
Change To Netincome,392000000.0,46000000.0,35400000.0,-316400000.0
Capital Expenditures,-17800000.0,-37800000.0,-29100000.0,-17700000.0
