,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Change To Liabilities,-7112000.0,6453000.0,8539000.0,-602000.0
Total Cashflows From Investing Activities,-21766000.0,-40631000.0,-53540000.0,-6913000.0
Net Borrowings,-2602000.0,-6973000.0,-65542000.0,-3950000.0
Total Cash From Financing Activities,1996000.0,-16813000.0,-86750000.0,-2969000.0
Change To Operating Activities,-14415000.0,236000.0,677000.0,-2074000.0
Issuance Of Stock,11628000.0,11628000.0,6506000.0,5934000.0
Net Income,-19395000.0,83079000.0,53119000.0,-534000.0
Change In Cash,12021000.0,47418000.0,-21633000.0,20577000.0
Effect Of Exchange Rate,-280000.0,749000.0,177000.0,-3534000.0
Total Cash From Operating Activities,32071000.0,104113000.0,118480000.0,33993000.0
Depreciation,17707000.0,5811000.0,8060000.0,9642000.0
Other Cashflows From Investing Activities,-9677000.0,-8352000.0,-29320000.0,-4637000.0
Change To Inventory,-10456000.0,-7270000.0,-17804000.0,3262000.0
Change To Account Receivables,5678000.0,-108000.0,-6006000.0,-2272000.0
Other Cashflows From Financing Activities,-7030000.0,-9840000.0,-27714000.0,-4953000.0
Change To Netincome,51510000.0,6812000.0,56056000.0,9052000.0
Capital Expenditures,-12089000.0,-32279000.0,-24220000.0,-2276000.0
