,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Change To Liabilities,75000000.0,39000000.0,-14000000.0,91000000.0
Total Cashflows From Investing Activities,-65000000.0,-69000000.0,-224000000.0,-52000000.0
Net Borrowings,105000000.0,-46000000.0,261000000.0,21000000.0
Total Cash From Financing Activities,-443000000.0,-546000000.0,-225000000.0,-456000000.0
Change To Operating Activities,-15000000.0,15000000.0,-21000000.0,-7000000.0
Net Income,176000000.0,339000000.0,201000000.0,200000000.0
Change In Cash,98000000.0,18000000.0,-20000000.0,-38000000.0
Repurchase Of Stock,-2000000.0,-2000000.0,-2000000.0,-2000000.0
Effect Of Exchange Rate,1000000.0,-2000000.0,2000000.0,2000000.0
Total Cash From Operating Activities,605000000.0,635000000.0,427000000.0,470000000.0
Depreciation,288000000.0,250000000.0,247000000.0,245000000.0
Dividends Paid,-420000000.0,-437000000.0,-423000000.0,-351508000.0
Change To Account Receivables,-34000000.0,-32000000.0,-2000000.0,-69000000.0
Change To Netincome,92000000.0,-39000000.0,-18000000.0,-8000000.0
Capital Expenditures,-43000000.0,-45000000.0,-33000000.0,-33000000.0
Other Cashflows From Investing Activities,,,-10000000.0,1000000.0
