,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Investments,-7100000.0,7300000.0,1612000.0,-19217000.0
Change To Liabilities,-82700000.0,66400000.0,145198000.0,-24823000.0
Total Cashflows From Investing Activities,844100000.0,-840300000.0,-332777000.0,-239599000.0
Net Borrowings,-63900000.0,791900000.0,-114313000.0,6717000.0
Total Cash From Financing Activities,-160000000.0,679500000.0,-216322000.0,-71701000.0
Change To Operating Activities,-2100000.0,-20100000.0,-18830000.0,1459000.0
Net Income,1003700000.0,163600000.0,272498000.0,201408000.0
Change In Cash,1256400000.0,25000000.0,-137763000.0,-29124000.0
Effect Of Exchange Rate,-22300000.0,-300000.0,-92000.0,-13353000.0
Total Cash From Operating Activities,594600000.0,186100000.0,411428000.0,295529000.0
Depreciation,264800000.0,108600000.0,129718000.0,160239000.0
Dividends Paid,-96100000.0,-93500000.0,-102009000.0,-72946000.0
Change To Inventory,-53900000.0,-73900000.0,-39236000.0,-36700000.0
Change To Account Receivables,-9100000.0,-97400000.0,-15715000.0,10797000.0
Change To Netincome,-996500000.0,62200000.0,-22435000.0,-26636000.0
Capital Expenditures,-375000000.0,-792200000.0,-330424000.0,-206974000.0
Repurchase Of Stock,,-18900000.0,-18900000.0,-5472000.0
Other Cashflows From Investing Activities,,-10000000.0,-10000000.0,-15085000.0
