,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Investments,110700000.0,205800000.0,-182900000.0,83000000.0
Change To Liabilities,-157600000.0,-2300000.0,28200000.0,40200000.0
Total Cashflows From Investing Activities,109200000.0,129100000.0,-190800000.0,75900000.0
Net Borrowings,-33300000.0,-33300000.0,-33300000.0,-33300000.0
Total Cash From Financing Activities,-466700000.0,-358800000.0,-342000000.0,-313400000.0
Change To Operating Activities,228100000.0,-51900000.0,-54200000.0,-53900000.0
Net Income,315000000.0,458700000.0,445100000.0,449500000.0
Change In Cash,214900000.0,186400000.0,-124500000.0,155900000.0
Repurchase Of Stock,-3800000.0,-3500000.0,-4600000.0,-3600000.0
Total Cash From Operating Activities,572400000.0,416100000.0,408300000.0,393400000.0
Depreciation,49200000.0,21900000.0,20300000.0,20600000.0
Other Cashflows From Investing Activities,27800000.0,42900000.0,40100000.0,38800000.0
Dividends Paid,-429600000.0,-355300000.0,-337400000.0,-309800000.0
Change To Account Receivables,9900000.0,6300000.0,28400000.0,-9000000.0
Change To Netincome,13800000.0,-72900000.0,-96600000.0,-140600000.0
Capital Expenditures,-3200000.0,-9800000.0,-3800000.0,-5500000.0
