,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,4123000000.0,-2390000000.0,841000000.0,831000000.0
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,2903000000.0,-2745000000.0,2569000000.0,-800000000.0
Net Borrowings,3148000000.0,-429000000.0,1287000000.0,-330000000.0
Total Cash From Financing Activities,19091000000.0,9845000000.0,6579000000.0,-1734000000.0
Change To Operating Activities,-12163000000.0,-3343000000.0,-7877000000.0,-2469000000.0
Net Income,3015000000.0,2731000000.0,2982000000.0,2557000000.0
Change In Cash,4533000000.0,10093000000.0,1137000000.0,1251000000.0
Effect Of Exchange Rate,-3108000000.0,1794000000.0,-330000000.0,-330000000.0
Total Cash From Operating Activities,-14353000000.0,1199000000.0,-7681000000.0,3785000000.0
Depreciation,925000000.0,1453000000.0,1520000000.0,1172000000.0
Dividends Paid,-861000000.0,-2122000000.0,-1835000000.0,-1663000000.0
Other Cashflows From Financing Activities,16804000000.0,11324000000.0,7581000000.0,632000000.0
Change To Netincome,-919000000.0,-147000000.0,427000000.0,-580000000.0
Capital Expenditures,-761000000.0,-1165000000.0,-633000000.0,-255000000.0
Issuance Of Stock,,1679000000.0,1679000000.0,1679000000.0
Repurchase Of Stock,,-607000000.0,-454000000.0,-373000000.0
