,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Change To Liabilities,1904000.0,4493000.0,2072000.0,-11973000.0
Total Cashflows From Investing Activities,-1936000.0,-2201000.0,-2813000.0,-1245000.0
Net Borrowings,-1667000.0,-425000.0,-404000.0,-395000.0
Total Cash From Financing Activities,-1313000.0,-461000.0,-561000.0,-457000.0
Change To Operating Activities,-2863000.0,-682000.0,1029000.0,-102000.0
Issuance Of Stock,464000.0,464000.0,464000.0,15000.0
Net Income,10137000.0,13602000.0,5751000.0,26158000.0
Change In Cash,19601000.0,2747000.0,6444000.0,14148000.0
Effect Of Exchange Rate,38000.0,583000.0,809000.0,-538000.0
Total Cash From Operating Activities,22812000.0,4826000.0,9009000.0,16388000.0
Depreciation,3728000.0,1823000.0,1274000.0,1059000.0
Change To Inventory,448000.0,-6671000.0,-1963000.0,-1022000.0
Change To Account Receivables,4683000.0,-10909000.0,586000.0,-1326000.0
Other Cashflows From Financing Activities,-110000.0,-36000.0,-58000.0,-77000.0
Change To Netincome,4411000.0,2853000.0,35000.0,3350000.0
Capital Expenditures,-1883000.0,-1684000.0,-2314000.0,-1065000.0
Repurchase Of Stock,,,-99000.0,-99000.0
