,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Investments,-36500000.0,-75400000.0,-78400000.0,-48500000.0
Change To Liabilities,-47600000.0,30100000.0,28700000.0,39400000.0
Total Cashflows From Investing Activities,-63400000.0,-114400000.0,-182000000.0,-61000000.0
Net Borrowings,-10600000.0,-10600000.0,80500000.0,80500000.0
Total Cash From Financing Activities,-114500000.0,-97300000.0,75800000.0,-80800000.0
Change To Operating Activities,103000000.0,-12000000.0,3700000.0,-13000000.0
Issuance Of Stock,7100000.0,4200000.0,89500000.0,89500000.0
Net Income,90100000.0,149800000.0,132400000.0,119600000.0
Change In Cash,32700000.0,-27800000.0,73600000.0,28100000.0
Repurchase Of Stock,-6300000.0,-6000000.0,-5000000.0,-4000000.0
Effect Of Exchange Rate,-1000000.0,-600000.0,-100000.0,-1800000.0
Total Cash From Operating Activities,211600000.0,184500000.0,179900000.0,171700000.0
Depreciation,20200000.0,11400000.0,10600000.0,9200000.0
Dividends Paid,-104700000.0,-95500000.0,-87000000.0,-76800000.0
Change To Account Receivables,-3300000.0,-2800000.0,5300000.0,900000.0
Change To Netincome,20500000.0,-9400000.0,-1400000.0,-500000.0
Capital Expenditures,-2300000.0,-6800000.0,-2800000.0,-2200000.0
Other Cashflows From Financing Activities,,,-2200000.0,-2200000.0
