,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Investments,7789000.0,4565000.0,-6424000.0,6620000.0
Change To Liabilities,-483000.0,135000.0,999000.0,1178000.0
Total Cashflows From Investing Activities,-271068000.0,-409921000.0,-180668000.0,-443654000.0
Net Borrowings,-176041000.0,230940000.0,105841000.0,186217000.0
Total Cash From Financing Activities,93057000.0,474068000.0,101866000.0,388291000.0
Change To Operating Activities,-4386000.0,735000.0,497000.0,-23000.0
Issuance Of Stock,361877000.0,345425000.0,5983000.0,26354000.0
Net Income,-5981000.0,5406000.0,1771000.0,7147000.0
Change In Cash,-88490000.0,157509000.0,-1833000.0,9792000.0
Effect Of Exchange Rate,43000.0,50000.0,-23000.0,59000.0
Total Cash From Operating Activities,89478000.0,93312000.0,76992000.0,65096000.0
Depreciation,1108000.0,395000.0,357000.0,309000.0
Dividends Paid,-51751000.0,-41301000.0,-40045000.0,-28947000.0
Change To Inventory,-151000.0,-26000.0,-56000.0,-89000.0
Change To Account Receivables,-2530000.0,1118000.0,-3579000.0,-3518000.0
Other Cashflows From Financing Activities,-41028000.0,-60996000.0,30087000.0,204667000.0
Change To Netincome,101411000.0,84965000.0,76608000.0,59826000.0
Capital Expenditures,-633000.0,-233000.0,-154000.0,-900000.0
