,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Investments,-1178000.0,-10605000.0,-8268000.0,-1004000.0
Change To Liabilities,8827000.0,-442000.0,432000.0,-982000.0
Total Cashflows From Investing Activities,-131442000.0,-21303000.0,-13051000.0,-1122000.0
Net Borrowings,38939000.0,-2949000.0,-217000.0,-675000.0
Total Cash From Financing Activities,39075000.0,-23597000.0,292225000.0,24077000.0
Change To Operating Activities,6434000.0,-3286000.0,66000.0,-3000.0
Issuance Of Stock,136000.0,352000.0,287009000.0,936000.0
Net Income,-51991000.0,54616000.0,1920000.0,19439000.0
Change In Cash,-107962000.0,-36883000.0,265054000.0,16569000.0
Effect Of Exchange Rate,595000.0,-471000.0,-146000.0,27000.0
Total Cash From Operating Activities,-16190000.0,8488000.0,-13974000.0,-6413000.0
Depreciation,17327000.0,8193000.0,1881000.0,1747000.0
Change To Inventory,-10289000.0,-747000.0,-336000.0,-2022000.0
Change To Account Receivables,877000.0,1764000.0,-3339000.0,-2212000.0
Change To Netincome,12446000.0,-51610000.0,-14598000.0,-23488000.0
Capital Expenditures,-131178000.0,-41565000.0,-8108000.0,-3885000.0
Other Cashflows From Financing Activities,,-21000000.0,5433000.0,23816000.0
Other Cashflows From Investing Activities,,,,3751000.0
