,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Change To Liabilities,69800000.0,26300000.0,35100000.0,-5400000.0
Total Cashflows From Investing Activities,-520200000.0,-763900000.0,-609700000.0,-197000000.0
Net Borrowings,44800000.0,-47300000.0,-47300000.0,-47300000.0
Total Cash From Financing Activities,-28400000.0,-121600000.0,-67600000.0,-67000000.0
Change To Operating Activities,35600000.0,55600000.0,-31400000.0,-3900000.0
Net Income,212600000.0,163900000.0,222400000.0,231100000.0
Change In Cash,-2300000.0,-371100000.0,-224300000.0,73700000.0
Effect Of Exchange Rate,-4100000.0,3800000.0,3400000.0,-5200000.0
Total Cash From Operating Activities,550400000.0,510600000.0,449600000.0,342900000.0
Depreciation,237700000.0,121400000.0,148300000.0,323500000.0
Other Cashflows From Investing Activities,43000000.0,43000000.0,43000000.0,43000000.0
Dividends Paid,-73200000.0,-74300000.0,-67600000.0,-59700000.0
Change To Inventory,18900000.0,140800000.0,83700000.0,-189800000.0
Change To Account Receivables,-67300000.0,-13400000.0,46800000.0,-55500000.0
Change To Netincome,10500000.0,4600000.0,7000000.0,23800000.0
Capital Expenditures,-563200000.0,-763900000.0,-426400000.0,-197000000.0
Repurchase Of Stock,,,,-7300000.0
