,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Change To Liabilities,5255903.0,7523218.0,2406837.0,0.0
Total Cashflows From Investing Activities,-21391716.0,-16492698.0,-1304046.0,-1609806.0
Net Borrowings,-467917.0,-467917.0,-467917.0,-467917.0
Total Cash From Financing Activities,118251476.0,106443047.0,7500065.0,5072707.0
Change To Operating Activities,-234843.0,5730392.0,2638934.0,376517.0
Issuance Of Stock,118719393.0,106443047.0,7500065.0,5072707.0
Net Income,-41463389.0,-41885150.0,-6657582.0,-3147654.0
Change In Cash,68453057.0,68345679.0,5927426.0,1482122.0
Effect Of Exchange Rate,1916304.0,-541748.0,-541748.0,-541748.0
Total Cash From Operating Activities,-30323007.0,-21062922.0,-268593.0,-1980779.0
Depreciation,3312275.0,1824619.0,62026.0,91137.0
Other Cashflows From Investing Activities,-1002190.0,-459841.0,200000.0,200000.0
Change To Account Receivables,223209.0,-369775.0,24659.0,24659.0
Change To Netincome,777068.0,6113774.0,958697.0,699221.0
Capital Expenditures,-2374840.0,-1987670.0,-453760.0,-162267.0
Investments,,,200000.0,-400000.0
