,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Change To Liabilities,-15181000.0,15289000.0,4838000.0,-1457000.0
Total Cashflows From Investing Activities,-22612000.0,-94419000.0,-214490000.0,-52651000.0
Net Borrowings,-19128000.0,-4800000.0,-161000.0,132310000.0
Total Cash From Financing Activities,65843000.0,48983000.0,256044000.0,56143000.0
Change To Operating Activities,-297000.0,-297000.0,-297000.0,-297000.0
Issuance Of Stock,111519000.0,60697000.0,156430000.0,68411000.0
Net Income,-99262000.0,-28932000.0,-19415000.0,-25954000.0
Change In Cash,22674000.0,-56402000.0,32730000.0,-12792000.0
Effect Of Exchange Rate,-1591000.0,-525000.0,174000.0,174000.0
Total Cash From Operating Activities,-18966000.0,-10441000.0,-8998000.0,-16284000.0
Depreciation,16411000.0,4260000.0,1501000.0,91000.0
Change To Inventory,22666000.0,-23858000.0,-592000.0,-592000.0
Change To Account Receivables,3371000.0,5226000.0,-4965000.0,-1566000.0
Other Cashflows From Financing Activities,-26548000.0,-6914000.0,99775000.0,-144578000.0
Change To Netincome,53326000.0,17574000.0,9635000.0,12602000.0
Capital Expenditures,-22612000.0,-178256000.0,-219073000.0,-52798000.0
Investments,,,4283000.0,4283000.0
