,2020-07-25,2019-07-27,2018-07-28,2017-07-29
Investments,14235000.0,4782000.0,13036000.0,-91814000.0
Change To Liabilities,56619000.0,-5021000.0,39895000.0,7858000.0
Total Cashflows From Investing Activities,6646000.0,-15550000.0,-40669000.0,-197768000.0
Net Borrowings,-171958000.0,-8000000.0,2000000.0,67926000.0
Total Cash From Financing Activities,-230594000.0,-112483000.0,-86468000.0,-12426000.0
Change To Operating Activities,15838000.0,14509000.0,-37148000.0,10363000.0
Net Income,137753000.0,106807000.0,83638000.0,105136000.0
Change In Cash,258577000.0,11637000.0,7987000.0,-112602000.0
Effect Of Exchange Rate,-1057000.0,856000.0,1273000.0,-245000.0
Total Cash From Operating Activities,483582000.0,138814000.0,133851000.0,97837000.0
Depreciation,216363000.0,51935000.0,28880000.0,25504000.0
Dividends Paid,-58636000.0,-104483000.0,-88468000.0,-80352000.0
Change To Inventory,14575000.0,-11852000.0,-18558000.0,-17199000.0
Change To Account Receivables,-7309000.0,-733000.0,2119000.0,-7221000.0
Change To Netincome,-3881000.0,-19480000.0,42990000.0,-12614000.0
Capital Expenditures,-7316000.0,-19618000.0,-53172000.0,-105634000.0
