,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Investments,-7832000.0,5697000.0,-4866000.0,21065000.0
Change To Liabilities,26680000.0,23981000.0,-17529000.0,2681000.0
Total Cashflows From Investing Activities,-73170000.0,-27786000.0,-21773000.0,7969000.0
Net Borrowings,-87000000.0,-87000000.0,-87000000.0,-87000000.0
Total Cash From Financing Activities,-212105000.0,-125544000.0,-125750000.0,-121094000.0
Change To Operating Activities,-312000.0,-84965000.0,78387000.0,396000.0
Net Income,81999000.0,115929000.0,140227000.0,137293000.0
Change In Cash,-135444000.0,-20650000.0,-3250000.0,45257000.0
Repurchase Of Stock,-5796000.0,-2122000.0,-2122000.0,-2122000.0
Total Cash From Operating Activities,149831000.0,132680000.0,144273000.0,158382000.0
Depreciation,23512000.0,12132000.0,11637000.0,11570000.0
Dividends Paid,-105250000.0,-123422000.0,-125750000.0,-121094000.0
Change To Account Receivables,7758000.0,60534000.0,-64000000.0,-8152000.0
Other Cashflows From Financing Activities,-14059000.0,-14059000.0,-14059000.0,-14059000.0
Change To Netincome,-13618000.0,5006000.0,5485000.0,6172000.0
Capital Expenditures,-13616000.0,-20002000.0,-15907000.0,-12467000.0
