,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Change To Liabilities,66765000.0,-5265000.0,-13116000.0,33141000.0
Total Cashflows From Investing Activities,-279503000.0,-2095588000.0,-136632000.0,-79503000.0
Net Borrowings,27779000.0,1540630000.0,-100000000.0,-45000000.0
Total Cash From Financing Activities,556282000.0,1427064000.0,393793000.0,-138624000.0
Issuance Of Stock,642069000.0,642069000.0,594389000.0,594389000.0
Net Income,228999000.0,202100000.0,224620000.0,211791000.0
Change In Cash,877001000.0,-412184000.0,438086000.0,-3318000.0
Effect Of Exchange Rate,-740000.0,1874000.0,1874000.0,1874000.0
Total Cash From Operating Activities,600962000.0,254466000.0,180925000.0,214809000.0
Depreciation,232448000.0,128072000.0,53847000.0,49956000.0
Dividends Paid,-113566000.0,-113566000.0,-100596000.0,-93624000.0
Change To Inventory,22572000.0,-59829000.0,-53436000.0,-51164000.0
Change To Account Receivables,1023000.0,-17041000.0,-29160000.0,-27851000.0
Change To Netincome,17743000.0,8043000.0,6935000.0,3036000.0
Capital Expenditures,-83328000.0,-99199000.0,-88244000.0,-94883000.0
