,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Investments,-31900000.0,-31900000.0,-5250000.0,-29874000.0
Change To Liabilities,890500000.0,164400000.0,-33219000.0,22657000.0
Total Cashflows From Investing Activities,-656000000.0,-1752300000.0,-631878000.0,-423511000.0
Net Borrowings,-1363900000.0,783400000.0,354431000.0,-92661000.0
Total Cash From Financing Activities,-231900000.0,812000000.0,-14934000.0,-371481000.0
Change To Operating Activities,-51600000.0,-15000000.0,163052000.0,-13528000.0
Issuance Of Stock,1476900000.0,1476900000.0,1476900000.0,1476900000.0
Net Income,284000000.0,545500000.0,388348000.0,488947000.0
Change In Cash,758200000.0,-25100000.0,351047000.0,90530000.0
Repurchase Of Stock,-9800000.0,-21900000.0,-52319000.0,-27425000.0
Effect Of Exchange Rate,-34600000.0,11900000.0,3172000.0,3335000.0
Total Cash From Operating Activities,1680700000.0,903300000.0,994687000.0,882187000.0
Depreciation,860000000.0,475600000.0,379492000.0,359474000.0
Other Cashflows From Investing Activities,47300000.0,9000000.0,4621000.0,61516000.0
Dividends Paid,-322500000.0,-308800000.0,-293220000.0,-265479000.0
Change To Inventory,-84000000.0,-19600000.0,-30133000.0,-23960000.0
Change To Account Receivables,-268100000.0,-299600000.0,62314000.0,-62152000.0
Other Cashflows From Financing Activities,-12600000.0,359300000.0,-23826000.0,14084000.0
Change To Netincome,16100000.0,6000000.0,54059000.0,99825000.0
Capital Expenditures,-680600000.0,-593800000.0,-473841000.0,-430455000.0
