,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Investments,-53000000.0,-100000000.0,134000000.0,14000000.0
Change To Liabilities,-184000000.0,-13000000.0,-22000000.0,137000000.0
Total Cashflows From Investing Activities,-873000000.0,-2312000000.0,-301000000.0,-289000000.0
Net Borrowings,-24000000.0,-34000000.0,-73000000.0,89000000.0
Total Cash From Financing Activities,-562000000.0,-1071000000.0,-1119000000.0,-393000000.0
Change To Operating Activities,-104000000.0,-64000000.0,-118000000.0,-63000000.0
Net Income,-65000000.0,389000000.0,1332000000.0,1231000000.0
Change In Cash,-91000000.0,-1564000000.0,295000000.0,1450000000.0
Repurchase Of Stock,-292000000.0,-380000000.0,-338000000.0,-238000000.0
Effect Of Exchange Rate,-21000000.0,2000000.0,-2000000.0,-2000000.0
Total Cash From Operating Activities,1365000000.0,1817000000.0,1717000000.0,2132000000.0
Depreciation,739000000.0,757000000.0,742000000.0,763000000.0
Other Cashflows From Investing Activities,28000000.0,46000000.0,38000000.0,25000000.0
Dividends Paid,-192500000.0,-572000000.0,-554000000.0,-244000000.0
Change To Inventory,208000000.0,-58000000.0,-99000000.0,-60000000.0
Change To Account Receivables,367000000.0,6000000.0,-153000000.0,-119000000.0
Change To Netincome,404000000.0,800000000.0,35000000.0,243000000.0
Capital Expenditures,-737000000.0,-726000000.0,-470000000.0,-343000000.0
