,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Investments,2000000.0,-900000.0,-39400000.0,100000.0
Change To Liabilities,-79100000.0,-89300000.0,132000000.0,12900000.0
Total Cashflows From Investing Activities,-28500000.0,-194100000.0,-262400000.0,-63000000.0
Net Borrowings,15800000.0,-5700000.0,34800000.0,500000.0
Total Cash From Financing Activities,-67900000.0,-131400000.0,-36600000.0,-67500000.0
Change To Operating Activities,-15400000.0,-39700000.0,-32600000.0,32800000.0
Issuance Of Stock,1700000.0,1700000.0,35400000.0,8600000.0
Net Income,-265300000.0,152600000.0,203500000.0,203600000.0
Change In Cash,-155600000.0,43800000.0,-39400000.0,130200000.0
Repurchase Of Stock,-34000000.0,-19300000.0,-19300000.0,-13400000.0
Effect Of Exchange Rate,6100000.0,9200000.0,7500000.0,-5700000.0
Total Cash From Operating Activities,-65300000.0,360100000.0,252100000.0,266400000.0
Depreciation,202800000.0,133100000.0,117200000.0,112300000.0
Other Cashflows From Investing Activities,-59500000.0,-59500000.0,-59500000.0,-59500000.0
Dividends Paid,-50600000.0,-107900000.0,-86700000.0,-63200000.0
Change To Inventory,20400000.0,139100000.0,-135400000.0,-18800000.0
Change To Account Receivables,-18000000.0,100400000.0,-4700000.0,-43400000.0
Other Cashflows From Financing Activities,-800000.0,-200000.0,-200000.0,-200000.0
Change To Netincome,122300000.0,-15200000.0,-39700000.0,-39600000.0
Capital Expenditures,-140500000.0,-197100000.0,-176100000.0,-126500000.0
