,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Investments,63000000.0,13000000.0,13000000.0,13000000.0
Change To Liabilities,-174000000.0,261000000.0,276000000.0,-246000000.0
Total Cashflows From Investing Activities,-1461000000.0,-1033000000.0,-2373000000.0,-534000000.0
Net Borrowings,413000000.0,-969000000.0,973000000.0,-1659000000.0
Total Cash From Financing Activities,246000000.0,-1251000000.0,890000000.0,-1518000000.0
Change To Operating Activities,101000000.0,-5000000.0,-9000000.0,-7000000.0
Net Income,-357000000.0,674000000.0,630000000.0,-360000000.0
Change In Cash,252000000.0,-249000000.0,85000000.0,-795000000.0
Repurchase Of Stock,-31000000.0,-31000000.0,-10000000.0,-8000000.0
Effect Of Exchange Rate,-9000000.0,-11000000.0,-10000000.0,9000000.0
Total Cash From Operating Activities,1476000000.0,2046000000.0,1578000000.0,1248000000.0
Depreciation,1129000000.0,1061000000.0,720000000.0,1670000000.0
Other Cashflows From Investing Activities,-40000000.0,-15000000.0,-6000000.0,4000000.0
Dividends Paid,-136000000.0,-251000000.0,-73000000.0,-73000000.0
Change To Inventory,8000000.0,-13000000.0,13000000.0,55000000.0
Change To Account Receivables,-30000000.0,-1000000.0,-1000000.0,-62000000.0
Change To Netincome,829000000.0,81000000.0,-77000000.0,177000000.0
Capital Expenditures,-770000000.0,-877000000.0,-576000000.0,-683000000.0
Issuance Of Stock,,,,151000000.0
Other Cashflows From Financing Activities,,,,-2000000.0
