,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Change To Liabilities,9000000.0,12000000.0,17600000.0,16100000.0
Total Cashflows From Investing Activities,-541100000.0,-399500000.0,-863200000.0,-296400000.0
Net Borrowings,488000000.0,300400000.0,676300000.0,164700000.0
Total Cash From Financing Activities,-624500000.0,-588900000.0,-222000000.0,-685400000.0
Net Income,349800000.0,320900000.0,283000000.0,59100000.0
Change In Cash,17600000.0,99000000.0,-80000000.0,3500000.0
Total Cash From Operating Activities,1183200000.0,1087400000.0,1005200000.0,985300000.0
Depreciation,385700000.0,356500000.0,312500000.0,326400000.0
Other Cashflows From Investing Activities,-119800000.0,300000.0,300000.0,200000.0
Dividends Paid,-731300000.0,-624200000.0,-543100000.0,-507200000.0
Change To Account Receivables,-32700000.0,-39700000.0,-26400000.0,7300000.0
Other Cashflows From Financing Activities,-392600000.0,-407500000.0,-427600000.0,-421100000.0
Change To Netincome,414900000.0,409700000.0,390400000.0,493300000.0
Capital Expenditures,-385000000.0,-399800000.0,-898600000.0,-261700000.0
Investments,,,35000000.0,-35000000.0
